Let's break this down step by step.

Let's start by finding the total number of ads that Hannah's AdBlock blocks. It blocks 80% of ads.

Let's now find the number of ads that Hannah's AdBlock doesn't block. Since 20% of ads are blocked, that means that 20% of ads are not blocked.

Now, we need to find the total number of ads. Let's call this total number of ads "x".

The percentage of ads that aren't blocked is 20%. So, the percentage of ads that aren't blocked is 20% of the total number of ads.

The number of ads that aren't blocked is 20% of x.

20% of x = 0.2x

To find the total number of ads, we can multiply the percentage by 100. So, we have:

0.2x = 0.2 * x = 20

x = 100/0.2
x = 500

So, the total number of ads is 500.

Now, the percentage of ads that aren't blocked is 20% of 500. That is:

0.2 * 500 = 100

0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 500 = 100
0.2 * 1000 = 100
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 * 1000 = 200
0.2 *
